icd_decimal,icd_short,overlap_ufhealth,request_idr
30233L0,30233L0,0,yes
30233M0,30233M0,0,yes
30233N0,30233N0,0,yes
30233P0,30233P0,0,yes
30233R0,30233R0,0,yes
30233T0,30233T0,0,yes
30233H1,30233H1,0,yes
30233K1,30233K1,0,yes
30233L1,30233L1,0,yes
30233M1,30233M1,0,yes
30233N1,30233N1,0,yes
30233P1,30233P1,0,yes
30233R1,30233R1,0,yes
30233T1,30233T1,0,yes
30240H0,30240H0,0,yes
30240K0,30240K0,0,yes
30240L0,30240L0,0,yes
30240M0,30240M0,0,yes
30240N0,30240N0,0,yes
30240P0,30240P0,0,yes
30240R0,30240R0,0,yes
30240T0,30240T0,0,yes
30240H1,30240H1,0,yes
30240K1,30240K1,0,yes
30240L1,30240L1,0,yes
30240M1,30240M1,0,yes
30240N1,30240N1,0,yes
30240P1,30240P1,0,yes
30240R1,30240R1,0,yes
30240T1,30240T1,0,yes
30243H0,30243H0,0,yes
30243K0,30243K0,0,yes
30243L0,30243L0,0,yes
30243M0,30243M0,0,yes
30243N0,30243N0,0,yes
30243P0,30243P0,0,yes
30243R0,30243R0,0,yes
30243T0,30243T0,0,yes
30243H1,30243H1,0,yes
30243K1,30243K1,0,yes
30243L1,30243L1,0,yes
30243M1,30243M1,0,yes
30243N1,30243N1,0,yes
30243P1,30243P1,0,yes
30243R1,30243R1,0,yes
30243T1,30243T1,0,yes
0UT90ZZ,0UT90ZZ,0,yes
OUT97ZL,OUT97ZL,0,yes
0UT97ZZ,0UT97ZZ,0,yes
0UT90ZL,0UT90ZL,0,yes
0B110F4,0B110F4,0,yes
0B113F4,0B113F4,0,yes
0B114F4,0B114F4,0,yes
5A1935Z,5A1935Z,0,yes
5A1945Z,5A1945Z,0,yes
5A1955Z,5A1955Z,0,yes
N71.0,N710,0,yes
N71.1,N711,0,yes
N71.9,N719,0,yes
F53.0,F530,0,yes
F43.10,F4310,0,yes
F43.11,F4311,0,yes
F43.12,F4312,0,yes
I10,I10,0,yes
I16,I16,0,yes
O10,O10,0,yes
O10.0,O100,0,yes
O10.01,O1001,0,yes
O10.1,O101,0,yes
O10.11,O1011,0,yes
O10.2,O102,0,yes
O10.21,O1021,0,yes
O10.3,O103,0,yes
O10.31,O1031,0,yes
O10.4,O104,0,yes
O10.41,O1041,0,yes
O10.9,O109,0,yes
O10.91,O1091,0,yes
E10,E10,0,yes
E10.1,E101,0,yes
E10.2,E102,0,yes
E10.3,E103,0,yes
E10.31,E1031,0,yes
E10.32,E1032,0,yes
E10.3212,E103212,0,yes
E10.3292,E103292,0,yes
E10.33,E1033,0,yes
E10.331,E10331,0,yes
E10.3311,E103311,0,yes
E10.3312,E103312,0,yes
E10.3319,E103319,0,yes
E10.34,E1034,0,yes
E10.341,E10341,0,yes
E10.3412,E103412,0,yes
E10.3419,E103419,0,yes
E10.349,E10349,0,yes
E10.3499,E103499,0,yes
E10.35,E1035,0,yes
E10.352,E10352,0,yes
E10.3529,E103529,0,yes
E10.353,E10353,0,yes
E10.3531,E103531,0,yes
E10.3533,E103533,0,yes
E10.3539,E103539,0,yes
E10.354,E10354,0,yes
E10.3543,E103543,0,yes
E10.3549,E103549,0,yes
E10.355,E10355,0,yes
E10.3551,E103551,0,yes
E10.3552,E103552,0,yes
E10.3559,E103559,0,yes
E10.37,E1037,0,yes
E10.37X1,E1037X1,0,yes
E10.37X2,E1037X2,0,yes
E10.37X3,E1037X3,0,yes
E10.37X9,E1037X9,0,yes
E10.4,E104,0,yes
E10.5,E105,0,yes
E10.6,E106,0,yes
E10.61,E1061,0,yes
E10.610,E10610,0,yes
